question,model_short,gold_short,is_correct_semantic,is_correct
"A patient with a slowly growing bluish nodule on the forehead, Clark level V, and a GNA11 c.626A>T p.Q209L mutation, which diagnostic test would be most appropriate to distinguish between pigmented epithelioid melanocytoma and melanoma?",Whole-genome DNA methylation profiling with t-SNE cluster analysis,R1alpha protein expression test,False,False
"In a patient with 46,XY karyotype, bilateral cryptorchidism, and hypospadias, what molecular pathway defect would most likely explain this presentation?",Androgen receptor (AR) gene mutation,Rspo1 mutation,False,False
What is the most appropriate diagnostic imaging modality for a 61-year-old male dentist with asymmetric hearing loss and a history of treated vestibular schwannoma who is being evaluated for cochlear implantation?,Contrast-enhanced MRI,Contrast-enhanced MRI,True,True
What is the most appropriate diagnostic test for a patient with sudden sensorineural hearing loss and a history of bilateral progressive hearing loss who has been using hearing aids for 10 years?,Magnetic resonance imaging (MRI) of the brain with internal auditory canal protocol,MRI,True,True
"For a patient with CD30-positive T-cell post-transplantation lymphoproliferative disorder (PTLD) seven years after liver transplantation who has achieved partial response to BV-CHP chemotherapy, what is the optimal maintenance therapy?",Single-agent brentuximab vedotin (BV),brentuximab vedotin,True,True
"A patient with a pancreatic cystic mass showing both epithelial and spindle cell components on histology, and negative for KRAS mutation, should be tested for which specific molecular marker to guide treatment decisions?",Microsatellite instability (MSI),AXL1,False,False
"In a 2-year-old patient with idiopathic pulmonary haemosiderosis who has no respiratory symptoms but has recurrent hemoptysis despite corticosteroid treatment, what is the most appropriate diagnostic test to identify an underlying milk allergy?",Milk-specific immunoglobulin E (IgE) testing,Specific IgE testing to cow's milk proteins,True,True
"A patient with severe headaches, transient visual obscurations, and bilateral central visual loss presents to the emergency department. The patient has a history of polysubstance abuse and Medicaid insurance. What is the most appropriate diagnostic test to perform in this patient?",Lumbar puncture in the lateral decubitus position,MRI/MRV of the brain,False,False
"In a patient with bilateral vision loss and normal intraocular pressure, what diagnostic test should be performed when visual field defects do not match optic disc appearance and there is a family history of glaucoma?",Magnetic resonance imaging (MRI) of the brain and orbits,Automated static threshold perimetry,False,False
"In a patient with primary open-angle glaucoma who has undergone successful trabeculectomy but continues to experience progressive vision loss despite low intraocular pressure, what diagnostic test should be performed to evaluate for potential compressive optic neuropathy?",Magnetic resonance imaging (MRI) of the brain and orbits,Magnetic resonance imaging (MRI),True,True
"In an elderly patient with unilateral glaucomatous visual field defects and a pituitary microadenoma compressing the chiasm, what is the most appropriate diagnostic test to determine if the visual field defects are primarily due to glaucoma versus compression from the adenoma?",Multifocal visual evoked potential (mfVEP) testing,Automated static threshold perimetry,False,False
"In a hyperopic female with unilateral optic disc pallor and visual field loss, what is the most appropriate initial diagnostic test to differentiate between optic nerve sheath meningioma and pituitary macroadenoma as the cause?",Magnetic resonance imaging (MRI) of the brain and orbits with contrast and fat suppression,Magnetic resonance imaging (MRI),True,True
"In a kidney transplant recipient with occult HBV infection (HBsAg-negative but HBV DNA-positive) who develops chronic myeloid leukemia, what is the most appropriate initial antiviral treatment to prevent HBV reactivation?",Entecavir,tenofovir alafenamide,False,False
"For a 43-year-old male with spontaneous clear nipple discharge and a BI-RADS 4b breast lesion showing architectural distortion with calcifications, what is the most appropriate diagnostic test to minimize false positives while maximizing cancer detection?",US-guided core needle biopsy (US-CNB),Digital breast tomosynthesis combined with mammography,False,False
"What is the most appropriate local treatment for an 83-year-old patient with a large ulcerated angiosarcoma of the scalp who has multiple comorbidities including chronic obstructive pulmonary disease, hypertension, diabetes, and ischemic encephalopathy?","Definitive radiation therapy, specifically total scalp irradiation",Electrochemotherapy,False,False
What is the most appropriate diagnostic test for confirming the diagnosis of a soft tissue tumor in a 2-month-old female with a progressively growing thigh mass that was first detected prenatally?,Histopathological examination with immunohistochemistry,Magnetic resonance imaging (MRI),False,False
"For a patient with advanced anaplastic thyroid carcinoma that has progressed on two prior therapies, has MSI-H status, and has shown progression on a pleural lesion after lenvatinib and pembrolizumab combination therapy, what targeted therapy should be considered next?","Pembrolizumab monotherapy or rechallenge with pembrolizumab in combination with a different immune checkpoint inhibitor (e.g., nivolumab) should be considered, given the patient's MSI-H status and prior response to pembrolizumab.",Sorafenib,False,False
"In a patient with a recent normal chest radiograph who develops hypoxia after a tracheostomy procedure, what is the most appropriate initial diagnostic test to differentiate between pneumothorax and atelectasis?",Bedside lung ultrasound (POCUS),lung ultrasound,True,True
"For a 60-year-old female with stage III nonmucinous appendiceal adenocarcinoma and moderate to poor differentiation, what is the most appropriate systemic chemotherapy regimen after cytoreductive surgery with HIPEC?",FOLFOX,FOLFOX or FOLFIRI regimen,True,True
What is the most appropriate treatment for a patient with penile vein thrombosis following COVID-19 infection who has no history of trauma or immobilization?,Rivaroxaban,Rivaroxaban,True,True
"For a 29-year-old female patient with a desmoid tumor of the head and neck who has completed breastfeeding, what is the most appropriate treatment strategy considering the tumor's location and the patient's recent lactation history?",Surgical resection with wide margins,Surgical resection with close monitoring,False,False
"In a pregnant patient with a history of vaginal bleeding and a family history of gynecologic malignancies who presents with a vaginal mass during pregnancy, what is the most appropriate diagnostic imaging modality to differentiate between a benign vaginal cyst and a malignant vaginal sarcoma?",Magnetic resonance imaging (MRI) without contrast,Magnetic resonance imaging (MRI),True,True
"What is the most appropriate diagnostic test to differentiate between an atypical pleomorphic lipomatous tumor and a classical atypical lipomatous tumor/well-differentiated liposarcoma in a patient with a painless subcutaneous mass in the groin region, where MRI shows no malignancy features and immunohistochemistry reveals focal-weak MDM2 expression?",Fluorescence in situ hybridization (FISH) for MDM2 amplification,Molecular genetic testing for MDM2 amplification,True,True
"In an 11-year-old child with Crohn's disease who is positive for anti-Saccharomyces cerevisiae antibodies (ASCA) and has developed dilated cardiomyopathy while on infliximab therapy, what alternative biologic agent should be selected for disease management?",Ustekinumab,ustekinumab,True,True
"For an asymptomatic healthcare worker with a solitary pulmonary nodule and elevated C-reactive protein, what is the most appropriate initial diagnostic test to confirm COVID-19 pneumonia when RT-PCR is negative on first testing?",Chest CT scan,chest CT scan,True,True
"In a patient with a history of diabetes and hypertension presenting with an enlarging breast mass and weight loss, what is the most appropriate diagnostic test to differentiate between primary small lymphocytic lymphoma of the breast and mantle cell lymphoma?",Fluorescence in situ hybridization (FISH) for t(11;14) CCND1/IGH fusion,"Immunohistochemical staining for CD20, CD5, CD23, BCL2, and BCL1",True,True
"For a patient with fever, splenomegaly, and lymphocytosis with large granular lymphocytes on bone marrow biopsy, what is the most appropriate first-line treatment?",Cyclosporine,methotrexate,False,False
"For a 25-year-old woman with Fanconi anemia and hypopharyngeal squamous cell carcinoma, what is the most appropriate first-line treatment approach?",Gefitinib or afatinib,surgical resection,False,False
"In a patient with high-grade muscle-invasive urothelial carcinoma of the bladder with clinical N1 disease after first-line platinum-based chemotherapy, what is the optimal surgical management strategy?",Radical cystoprostatectomy with bilateral pelvic lymphadenectomy,observation only,False,False
What is the most appropriate treatment for a patient with cold agglutinin disease and COVID-19 pneumonia who has severe hemolytic anemia requiring transfusions and persistent hypoxia despite standard COVID-19 therapy?,Therapeutic plasma exchange,Therapeutic plasma exchange,True,True
"For a 62-year-old male with T4 N1 M0 squamous cell carcinoma of the lower esophagus who has a history of heavy alcohol consumption and smoking, and whose tumor has invaded the pancreas, what is the optimal perioperative chemotherapy timing?","Neoadjuvant chemotherapy followed by radical surgery, with adjuvant chemotherapy postoperatively",Preoperative chemotherapy with cisplatin plus 5-fluorouracil,False,False
"For an 82-year-old patient with Child-Pugh A HCC and portal vein tumor thrombosis who has experienced adverse events to combination immunotherapy, what is the most appropriate systemic treatment option?",Atezolizumab monotherapy,sorafenib,False,False
"For a patient with a suprasellar mass causing visual field defects and secondary adrenal insufficiency, who has been diagnosed with autoimmune hypophysitis based on histological findings of lymphoid infiltration with CD20 positive B-cells, what is the most appropriate steroid-sparing treatment option when intolerable adverse effects to glucocorticoids develop?",Rituximab,Rituximab,True,True
What is the most appropriate treatment for a 75-year-old former smoker with UIP and well-differentiated focally invasive squamous cell carcinoma without pleural invasion?,Nintedanib,Nintedanib,True,True
"For a patient with pancreatic head adenocarcinoma and incomplete intestinal rotation with a replaced right hepatic artery arising from superior mesenteric artery, what is the most appropriate surgical approach to achieve complete resection while preserving vascular integrity?",Pylorus-preserving pancreaticoduodenectomy with an 'artery-first' approach and meticulous intraoperative dissection to preserve the replaced right hepatic artery,pylorus-preserving pancreaticoduodenectomy,True,True
What is the most appropriate surgical approach for a patient with pancreatic head adenocarcinoma and intestinal nonrotation who requires pancreaticoduodenectomy?,Modified infracolic superior mesenteric artery (SMA) first approach with careful vascular dissection and tailored reconstruction,Infracolic SMA first approach,True,True
"For a 70-year-old patient with pancreatic body cancer and celiac artery compression from median arcuate ligament, what is the most appropriate surgical approach when unexpected bleeding occurs during pancreaticoduodenectomy?",Supraceliac aortic cross-clamping (SAC),Supraceliac aortic cross-clamping (SAC),True,True
"In a patient with metastatic squamous cell carcinoma of the cervix to the thyroid gland and widespread metastases, what is the most appropriate treatment strategy?",Palliative chemoradiotherapy,Palliative chemoradiotherapy,True,True
What is the most appropriate tapering strategy for a patient with chronic cancer pain who has been on high-dose oxycodone (288 mg/day) and developed withdrawal symptoms after abrupt discontinuation?,Gradual dose reduction over 10 days with close monitoring for withdrawal symptoms,Gradual tapering over 10 days,True,True
What is the most appropriate opioid tapering strategy for a cancer patient with chronic pain who has developed opioid dependence after high-dose intravenous fentanyl administration?,Opioid rotation with gradual dose reduction and supportive management of withdrawal symptoms,Transdermal fentanyl patch with gradual dose reduction,True,True
"In a cancer patient with chronic pain due to radiation-induced ulcer who has developed opioid dependence, what is the most appropriate opioid tapering strategy to minimize withdrawal symptoms while maintaining pain control?","Gradual opioid tapering with replacement therapy using a weak opioid (e.g., tramadol) and supportive management of withdrawal symptoms",Methadone-assisted tapering,False,False
"What specific staff training intervention would be most appropriate for a 37-year-old woman with ASD who is the primary caregiver for her mother with end-stage breast cancer, given that she has difficulty understanding social cues and managing home care schedules?",Social skill training with structured communication strategies and behavioral support planning,Social skills training tailored to caregiving contexts,True,True
"For a patient with stage II plasmablastic lymphoma presenting with anemia and thrombocytopenia, what is the most appropriate first-line treatment strategy that incorporates both chemotherapy and consolidation therapy?","Cyclophosphamide, lenalidomide, dexamethasone (CRD) followed by autologous hematopoietic cell transplantation (AHCT)",V-CDOP chemotherapy followed by autologous stem cell transplantation,False,False
"For a patient with an aggressive osteoblastoma (Enneking Type III) in the cervical spine requiring wide resection, what surgical guidance method should be used for pedicle screw fixation in the upper cervical spine to minimize the risk of vertebral artery injury and ensure optimal screw placement?",Individualized 3D printing navigation template,3D printing navigation template,True,True
What is the most appropriate diagnostic test to evaluate for atrial arrhythmias in a 44-year-old man with Ebstein's anomaly and severe tricuspid regurgitation who is scheduled for surgical repair?,Electrophysiological study (EPS),Holter monitoring,False,False
"For a patient with combined pulmonary adenocarcinoma with atypical carcinoid and ROS1-positive adenocarcinoma component, what is the most appropriate first-line systemic treatment?",Crizotinib,Crizotinib,True,True
"For a patient with combined pulmonary adenocarcinoma with atypical carcinoid, PD-L1 expression <1%, and bone metastases, what is the most appropriate first-line systemic treatment?",Crizotinib,Somatostatin analogs,False,False
"What is the most appropriate initial treatment for a 46-year-old female with ulcerative colitis who presents with chronic cough, wheezing, and multiple pulmonary nodules found to be a low-grade neuroendocrine tumor?",Surgical resection,Surgical resection,True,True
What is the most appropriate first-line treatment for a patient with a pituitary gangliocytoma and elevated TSH levels who has failed somatostatin analog therapy?,Transsphenoidal surgery,Surgical resection,True,True
What is the most appropriate diagnostic test to monitor for prostate cancer risk in a 70-year-old trans woman on feminizing hormone therapy with a PSA of 2 ng/mL and mild lower urinary tract symptoms?,Serial monitoring of PSA with clinical follow-up and digital rectal examination (DRE),Serial PSA monitoring,True,True
"In a patient with a history of rituximab-induced hypogammaglobulinemia and persistent B-cell depletion who presents with recurrent SARS-CoV-2 infection, what is the most appropriate diagnostic test to differentiate between reinfection and reactivation?",Viral genome sequencing,Genomic sequencing of SARS-CoV-2,True,True
"What is the most appropriate adjuvant treatment for a 57-year-old male with ER+, PR-, HER- invasive ductal carcinoma who has a history of retroperitoneal liposarcoma treated with surgery and radiotherapy?","Adjuvant endocrine therapy with tamoxifen, followed by consideration of post-mastectomy radiation therapy and chemotherapy based on risk stratification",Chemotherapy with Docetaxel,False,False
What is the preferred anesthetic management approach for a pregnant patient with a paraganglioma at 25 weeks gestation requiring surgical resection?,Laparoscopic tumor resection with invasive hemodynamic monitoring and pharmacologic control of catecholamine surges,Combined alpha and beta blockade with invasive hemodynamic monitoring,True,False
"A patient with a history of extramedullary plasmacytoma in the oral cavity and testicular relapse presents with normal serum protein electrophoresis, negative serum-free light chain assay, and no CRAB features. According to the updated diagnostic criteria, what biomarker would confirm the diagnosis of multiple myeloma in this patient?",Bone marrow plasma cell infiltration ≥10%,60% or greater clonal plasma cells on bone marrow biopsy,False,False
"In a patient with transient osteoporosis of the hip during the last trimester of pregnancy who presents with a displaced femoral neck fracture, what is the most appropriate initial treatment approach?",Cementless total hip arthroplasty,Total hip arthroplasty,True,True
"In a patient with HTLV-1-associated myelopathy who develops refractory pneumonia with Pseudomonas aeruginosa and MRSA infection, what is the most appropriate additional diagnostic test to consider when initial cultures are negative but clinical suspicion remains high?","Bronchoalveolar lavage (BAL) with fungal and mycobacterial cultures and molecular testing (e.g., PCR)",Percutaneous ultrasound-guided drainage with culture,False,False
"In a patient with a history of heart failure with reduced ejection fraction and an implantable cardioverter-defibrillator who develops postoperative intussusception at the site of ileocolic anastomosis, what is the most appropriate diagnostic imaging modality to confirm the diagnosis?",CT abdomen,CT abdomen with contrast,True,True
What is the most appropriate surgical approach for a patient with pancreatic cancer and portal annular pancreas who requires distal pancreatectomy?,Extended distal pancreatectomy with preservation of the retroportal pancreatic parenchyma and careful management of the pancreatic stump to reduce postoperative pancreatic fistula (POPF) risk,Distal pancreatectomy with splenectomy and careful dissection around the portal vein,False,False
"In a patient with familial adenomatous polyposis and a history of rectal cancer who is undergoing pancreaticoduodenectomy for duodenal papillary carcinoma, what specific anatomical variant must be identified preoperatively to prevent surgical complications?","The anatomical variant that must be identified preoperatively is the location of the main pancreatic duct relative to the portal vein (PV), particularly whether the pancreatic parenchyma is located on the dorsal side of the PV.",Portal annular pancreas,True,True
"In a patient with chronic HBV infection and a history of pulmonary cryptococcosis who presents with recurrent respiratory symptoms, what is the most appropriate initial diagnostic test to differentiate between Cryptococcus neoformans variety gattii and neoformans infection?",Cryptococcal antigen lateral flow assay (CrAg LFA),Cryptococcal antigen testing,True,True
What is the most appropriate diagnostic test to differentiate melanotic neuroectodermal tumor of infancy from other pigmented lesions in a 6-month-old infant with a rapidly growing mandibular mass that displaces tooth germs and shows multicentric osteolytic lesions on CT?,Histopathological examination with immunohistochemical staining,Fontana-Masson staining,False,False
"For a patient with a gastric gastrointestinal stromal tumor (GIST) measuring 9.5 cm and located close to the lesser curvature, what is the preferred surgical approach to minimize blood loss and hospital stay while maintaining oncological safety?",Laparoscopic transgastric resection (LTG),Laparoscopic surgery,True,True
"For a 76-year-old woman with a 241mm subendometrial mass showing high mitotic rate (20/10 HPF) and hemorrhagic areas on MRI, what is the appropriate management approach given the overlapping features with Müllerian adenosarcoma but without myometrial invasion?",Total abdominal hysterectomy and bilateral adnexectomy with pelvic lymphadenectomy,Conservative management with close monitoring,False,False
"For a patient with a uterine polyp showing atypical stromal cells with high mitotic rate and minimal myometrial invasion, what is the most appropriate diagnostic approach to distinguish between a benign polyp with overlapping features and adenosarcoma?","Histopathological evaluation with assessment of stromal mitotic rate, architectural features, and immunohistochemical staining for CD10 and hormone receptors","Careful pathological evaluation including assessment of stromal atypia, mitotic activity, and architectural features",False,True
"In a 9-year-old female patient with a history of intermittent right lower abdominal pain, high-grade fever, and leukocytosis who was initially diagnosed with ileocolic intussusception but later found to have a completely subserosal appendix with transmural necrosis and perforation, what is the most appropriate diagnostic approach to confirm the presence of a vermiform appendix when imaging is inconclusive?",Exploratory laparoscopy with intraoperative visualization and histopathological examination,Laparoscopic exploration with thorough examination of the ileo- and retrocecal regions,True,True
"What is the most appropriate diagnostic test for a patient with recurrent urinary infections, macrohematuria, and atypical flat black pigmented bladder tumors who has a history of extravesical cervical and perineal cancer?",Transurethral bladder resection (TUR-B) with histopathological examination,HPV DNA testing,False,False
"What is the most appropriate diagnostic test for a patient with refractory ascites, lymphadenopathy, and elevated serum CA125 who has been unresponsive to standard diuretic therapy?",Lymph node biopsy,Lymph node biopsy,True,True
"What is the most appropriate diagnostic test for a patient with axillary metastasis and no primary tumor identified on physical examination, mammography, or ultrasound, who has a history of ER-positive breast cancer?",Breast magnetic resonance imaging (MRI),Breast MRI,True,True
"For a 48-year-old woman with a recurrent mucinous borderline ovarian tumor and newly diagnosed diffuse large B-cell non-Hodgkin lymphoma of the uterus, what is the most appropriate first-line treatment regimen?",R-CHOP chemotherapy,Ibrutinib with R-CHOP,False,False
"For a patient with stage IIID urachal adenocarcinoma involving the small bowel and mesentery, who has microcytic anemia and thrombocytopenia, what is the most appropriate systemic treatment option?",Modified FOLFOX-6 chemotherapy,cetuximab or atezolizumab,False,False
Question: What is the most appropriate diagnostic test to evaluate cutaneous perfusion in a patient with localized sclerodermatous changes at the site of previous internal thoracic artery harvesting during CABG?,Laser Doppler Imaging,Short Answer: Laser Doppler Imaging,True,True
"For a patient with recurrent IDH-mutated glioma who previously received 45 Gy in 25 fractions of external beam radiation therapy and has a hypermutation phenotype, what is the most appropriate systemic therapy to consider after progression on bevacizumab and tumor treatment fields?",Clinical trial of immunotherapy,Immunotherapy trials,True,True
"In a patient with hypernatremia and elevated cortisol levels, what is the most appropriate diagnostic test to differentiate between Cushing's disease and ectopic ACTH production?",Peripheral corticotropin-releasing hormone (CRH) stimulation test,High-dexamethasone suppression test,False,False
"What is the most appropriate treatment for a patient with immune checkpoint inhibitor-induced pneumonitis who has a history of melanoma and COPD, and has developed acute kidney injury during treatment?",Corticosteroids,glucocorticoids,True,True
A patient with nivolumab-induced pneumonitis and transaminitis who has a history of smoking and is currently on high-dose steroids should be monitored for which potential adverse effect that is specifically associated with immune checkpoint inhibitors?,Hepatitis,acute kidney injury,False,False
What is the most appropriate treatment for a patient with non-small cell lung cancer who develops acute kidney injury with biopsy-proven acute tubulointerstitial nephritis after receiving immune checkpoint inhibitor therapy?,High-dose corticosteroids,glucocorticoids,True,True
What is the most appropriate treatment for a patient with metastatic melanoma who develops acute kidney injury after receiving immune checkpoint inhibitor therapy and has a history of pembrolizumab-induced hypophysitis?,Corticosteroid therapy,glucocorticoids,True,True
"What is the most appropriate diagnostic test to confirm intramedullary spinal cord metastasis in a patient with progressive lower limb weakness, sensory level at T11, and a history of malignant melanoma?",MRI of the spine with contrast,Contrast-enhanced MRI,True,True
"For an 83-year-old patient with a large peripheral ossifying fibroma in the right maxillary premolar region that has been gradually growing since 2002 and shows SUVmax of 14.99 on PET/CT, what is the most appropriate surgical approach to ensure complete excision while addressing the resulting gingival defect?",Aggressive surgical excision with periosteal resection and reconstruction using artificial dermis (TERDERMIS) with tie-over dressing,Laterally positioned flap,False,False
"For a patient with metastatic pheochromocytoma/paraganglioma (PPGL) involving the lung and pancreas, who has failed first-line somatostatin analogue therapy, what is the most appropriate next-line treatment?",Peptide receptor-targeted radionuclide therapy with 177Lu-DOTATATE,PRRT with 177Lu-DOTATATE,True,True
"In a patient with platypnea-orthodeoxia syndrome and pulmonary embolism, what diagnostic test should be performed to identify the underlying anatomical variant causing the condition?",CT pulmonary angiography,CT pulmonary angiography,True,True
"In a patient with a history of follicular lymphoma treated with rituximab maintenance therapy who presents with neurological symptoms and is found to have JC virus in cerebrospinal fluid, what is the most appropriate diagnostic test to confirm progressive multifocal leukoencephalopathy?",Quantitative polymerase chain reaction (PCR) for JC virus DNA in cerebrospinal fluid,JC virus PCR in cerebrospinal fluid,True,True
"For a patient with histiocytic sarcoma who has failed initial chemotherapy and has a RET pathway mutation, what is the most cost-effective targeted therapy option?",Imatinib,imatinib plus thalidomide,False,False
"For a patient with a history of strong local reaction to BCG vaccination as a child and renewed symptoms at the BCG scar site following COVID-19 vaccination, which diagnostic test would be most appropriate to evaluate for potential cross-reactivity between BCG-induced immunity and SARS-CoV-2?",SARS-CoV-2 envelope protein immunohistochemistry,SARS-CoV-2 envelope specific antibody,False,False
"In a patient with mantle cell lymphoma undergoing autologous hematopoietic cell transplantation using the BeEAM conditioning regimen who develops polyuria and hypernatremia, what is the most appropriate diagnostic test to differentiate between central and nephrogenic diabetes insipidus?",Desmopressin challenge test,desmopressin challenge test,True,True
"For a 13-year-old male with progressive subungual melanosis in the hallux of the right foot for over 4 years, what is the most appropriate reconstructive procedure after resection of a subungual melanocytic nevus?",Lateral toe pulp island flap based on the plantar digital artery,lateral toe pulp island flap based on the plantar digital artery,True,True
What is the most appropriate reconstructive procedure for a 5-year-old patient with a subungual melanocytic nevus requiring total nail matrix resection?,Lateral toe pulp island flap based on the plantar digital artery,Lateral toe pulp island flap based on the plantar digital artery,True,True
"In a patient with a history of plasmacytoma recurrence presenting with dysarthria and dual expression of kappa and lambda light chains on immunohistochemistry, what is the most appropriate diagnostic test to confirm biphenotypic plasma cell neoplasm?",In situ hybridization (ISH) for IgL mRNA,Flow cytometry and in situ hybridization,True,True
